studyuid,first_pred,last_pred,job_count,avg job time /s,avg single job time /s,median job time /s,min job time /s,max job time /s,coef. of variation
1.2.840.113619.2.416.81290132466489141527235328124986173918,2020-07-11 19:58:04.469065+00:00,2020-07-12 14:17:11.900916+00:00,19,161.96,3484.35,150.81,133.27,255.24,0.18
1.3.46.670589.33.1.63677831566193241600001.5190466861540976899,2020-07-11 20:01:44.353680+00:00,2020-07-12 13:53:45.555438+00:00,18,104.21,3579.46,102.86,82.19,135.31,0.12
1.3.46.670589.11.33766.5.0.7076.2016061415574185498,2020-07-11 20:10:22.042126+00:00,2020-07-12 16:04:05.752450+00:00,26,24.05,2755.33,15.49,11.92,152.65,1.19
1.3.12.2.1107.5.2.32.35036.30000017010422152920300720154,2020-07-11 20:13:43.847858+00:00,2020-07-12 16:04:24.292457+00:00,26,38.66,2749.05,31.71,28.74,80.12,0.36
1.2.392.200036.9125.2.138612190166.20190626002832,2020-07-11 20:15:19.127248+00:00,2020-07-12 16:04:59.403248+00:00,23,27.48,3104.41,22.56,19.94,92.74,0.56
1.2.392.200036.9125.2.138612190166.20190626002908,2020-07-11 20:16:46.430686+00:00,2020-07-12 16:05:21.125729+00:00,25,14.21,2853.03,11.94,10.46,37.74,0.43
1.2.392.200036.9125.2.138612190166.20190626003021,2020-07-11 20:18:12.909755+00:00,2020-07-12 16:05:32.621237+00:00,26,13.02,2740.44,12.33,10.16,16.86,0.16
1.2.840.113619.2.259.6945.202436.20006.1415140771.786,2020-07-11 20:19:38.987106+00:00,2020-07-12 16:05:44.720486+00:00,26,14.57,2737.6,15.15,11.72,24.57,0.19
1.2.392.200036.9125.2.138612190166.20170712000494,2020-07-11 20:20:56.572244+00:00,2020-07-12 16:05:46.038400+00:00,26,92.7,2737.93,92.31,87.52,107.47,0.04
1.2.840.113619.2.208.6945.202436.7144.1282603417.557,2020-07-11 20:22:12.723937+00:00,2020-07-12 16:05:56.858441+00:00,26,64.42,2734.75,79.38,12.1,86.32,0.42
1.2.392.200036.9125.2.138612190166.20160725001613,2020-07-11 20:23:29.320992+00:00,2020-07-12 16:07:17.110066+00:00,26,29.31,2733.04,28.72,27.11,33.32,0.05
1.2.840.113619.2.259.6945.202436.20168.1420584158.823,2020-07-11 20:24:37.005211+00:00,2020-07-12 16:07:23.325747+00:00,26,92.5,2733.08,93.23,76.16,100.32,0.05
1.3.12.2.1107.5.2.32.35036.30000017010422152920300000058,2020-07-11 20:25:43.788667+00:00,2020-07-12 16:07:48.384460+00:00,26,53.23,2730.11,58.05,6.68,60.24,0.28
1.3.46.670589.33.1.63678505115113239000001.5175220200536048359,2020-07-11 20:26:50.893590+00:00,2020-07-12 16:08:47.116468+00:00,26,23.54,2728.51,23.63,20.56,28.06,0.08
1.2.392.200036.9125.2.138612190166.20180617000003,2020-07-11 20:27:58.768317+00:00,2020-07-12 16:08:57.632967+00:00,26,34.73,2726.77,34.85,23.98,46.08,0.14
